# GitHub PR Analyzer チーム分析結果 分析プロンプト

以下は、GitHub PR Analyzerツールで生成されたチーム全体のエンジニア活動データです。これらのデータを基に、チームとしての貢献、協働、そして個々のメンバーの特徴を分析してください。

## 分析対象データファイル

### 1. チームサマリー (`team_summary_[チーム名]_[期間].json`)
チーム全体の活動統計とメンバー比較データ

**データ内容：**
- `team_name`: チーム名
- `period_start`: 分析期間開始日
- `period_end`: 分析期間終了日
- `team_members`: チームメンバー一覧
- `team_stats`: チーム全体統計
  - `total_team_prs`: チーム全体の作成PR数
  - `total_team_merged_prs`: チーム全体のマージPR数
  - `total_team_additions`: チーム全体の追加行数
  - `total_team_deletions`: チーム全体の削除行数
  - `total_team_reviews`: チーム全体のレビュー数
- `members_stats`: メンバー別活動統計の配列
  - `member`: メンバー名
  - `created_prs`: 作成PR数
  - `merged_prs`: マージPR数
  - `additions`: 追加行数
  - `deletions`: 削除行数
  - `reviewed_prs`: レビューしたPR数
  - `review_actions`: レビューアクション数
  - `contribution_rate`: チーム内での貢献率（PR作成数ベース）
  - `most_active_repo`: 最も活発なリポジトリ
- `repositories`: リポジトリ別チーム活動の配列
  - `repository_name`: リポジトリ名
  - `team_prs_count`: リポジトリでのチーム全体PR数
  - `team_merged_prs_count`: リポジトリでのチーム全体マージPR数
  - `members_contribution`: メンバー別貢献度

### 2. メンバー個別詳細データ (`team_member_details_[メンバー名]_[期間].json`)
各チームメンバーの詳細な活動データ（個人分析と同じ形式）

**データ内容：**
- `member`: メンバー名
- `period_start`: 分析期間開始日
- `period_end`: 分析期間終了日
- `pull_requests`: プルリクエスト詳細データの配列
- `review_summary`: レビュー活動サマリー

## チーム分析観点

以下の観点でチームとしての活動と各メンバーの特徴を分析してください：

### 1. チーム全体のパフォーマンス
- チーム全体の生産性指標（PR作成数、マージ率、コード変更量）
- チームの開発サイクルの効率性
- 継続的なデリバリーの実現度
- 技術負債の管理状況（リファクタリング活動等）

### 2. メンバー間の協働とバランス
- メンバー間の貢献度バランス
- 相互レビューの活発度
- 知識共有とメンタリングの状況
- チーム内での役割分担の適切性

### 3. 個々のメンバーの特徴と強み
- 各メンバーの専門領域と得意分野
- PR作成パターンの違い（大きなPR vs 小さなPR）
- レビューアとしての活動レベル
- 技術的リーダーシップの発揮

### 4. リポジトリ・プロジェクト別の活動分析
- 各リポジトリでのチーム貢献度
- プロジェクト間でのメンバー配置の効率性
- 特定のリポジトリに依存したメンバーの有無
- 新しいプロジェクトへの適応力

### 5. 開発プロセスの品質
- コードレビューの質と頻度
- マージまでの時間とプロセス効率
- バグ修正とメンテナンス活動
- ドキュメント化への取り組み

### 6. チーム成長と学習
- 新しい技術への取り組み
- メンバー間のスキル移転
- 継続的改善の実践
- イノベーションへの貢献

### 7. 組織への影響とインパクト
- プロダクトへの直接的貢献
- 他チームとの連携状況
- 技術的意思決定への関与
- 組織全体の技術力向上への寄与

## 分析結果で期待する内容

1. **チーム全体のサマリー**
   - 期間中の主要な成果と数値指標
   - 他のチームとの比較（可能であれば）
   - チームの強みと改善領域

2. **メンバー別の特徴分析**
   - 各メンバーの役割と貢献パターン
   - 個人の成長ポイント
   - チーム内での相対的なポジション

3. **協働とプロセスの評価**
   - チームワークの効果性
   - 開発プロセスの成熟度
   - 知識共有とメンタリングの状況

4. **改善提案**
   - チーム全体の生産性向上のための提案
   - 個人の成長支援策
   - プロセス改善の推奨事項

5. **戦略的示唆**
   - チームの組織的価値
   - 将来の成長可能性
   - 投資すべき領域の特定

データをもとに、チーム評価、個人評価、組織運営に活用できる客観的で建設的な分析をお願いします。特に、数値データだけでなく、チームダイナミクスや個人の特徴を読み取った質的な分析も重視してください。
